序號,英文名稱,中文名稱,中國大陸譯名,來源網站
1,[current] carrier,載[流]子,载流子,https://terms.naer.edu.tw/
2,[electric power] grid,電力網,电力网,https://terms.naer.edu.tw/
3,[electric] cable,電纜,电缆,https://terms.naer.edu.tw/
4,[magnetic] hysteresis loop,磁滯迴線；磁滯曲線,磁滞回线,https://terms.naer.edu.tw/
5,[magnetic] monopole,磁單極,磁单极子,https://terms.naer.edu.tw/
6,[power] semiconductor diode,半導體二極體,半导体二极管,https://terms.naer.edu.tw/
7,[universal] gas constant,普適氣體常數,普适气体常量,https://terms.naer.edu.tw/
8,aberration,像差；光行差 ｛天文｝,像差,https://terms.naer.edu.tw/
9,absolute error,絕對誤差,绝对误差,https://terms.naer.edu.tw/
10,absolute humidity,絕對濕度,绝对湿度,https://terms.naer.edu.tw/
11,absolute motion,絕對運動,绝对运动,https://terms.naer.edu.tw/
12,absorbed dose,吸收劑量,吸收剂量,https://terms.naer.edu.tw/
13,acceleration,加速度,加速度,https://terms.naer.edu.tw/
14,acceleration of gravity,重力加速度,重力加速度,https://terms.naer.edu.tw/
15,accelerator,加速器,加速器,https://terms.naer.edu.tw/
16,accidental error,偶然誤差,偶然误差,https://terms.naer.edu.tw/
17,admittance,導納,导纳,https://terms.naer.edu.tw/
18,air humidity,空氣濕度,空气的湿度,https://terms.naer.edu.tw/
19,air-condition,空調,空调,https://terms.naer.edu.tw/
20,alternating current｛=AC｝,交流電,交变电流,https://terms.naer.edu.tw/
21,amorphous solid,非晶[態固]體,非晶态固体,https://terms.naer.edu.tw/
22,Ampère circuital theorem,安培環路定理,安培环路定理,https://terms.naer.edu.tw/
23,Ampere's rule,安培定則,安培定则,https://terms.naer.edu.tw/
24,angle of friction,摩擦角,摩擦角,https://terms.naer.edu.tw/
25,angular acceleration,角加速度,角加速度,https://terms.naer.edu.tw/
26,angular displacement,角移,角位移,https://terms.naer.edu.tw/
27,angular momentum,角動量,角动量,https://terms.naer.edu.tw/
28,angular velocity,角速度,角速度,https://terms.naer.edu.tw/
29,antiparticle,反粒子,反粒子,https://terms.naer.edu.tw/
30,antireflecting film,抗反射膜,减反射膜,https://terms.naer.edu.tw/
31,antireflection coating,抗反射鍍膜,减反射膜,https://terms.naer.edu.tw/
32,Archimedes principle,阿基米德原理,阿基米德原理,https://terms.naer.edu.tw/
33,artificial earth satellite,人造地球衛星,人造地球卫星,https://terms.naer.edu.tw/
34,artificial precipitation,人造雨,人工降水,https://terms.naer.edu.tw/
35,atomic bomb,原子彈,原子弹,https://terms.naer.edu.tw/
36,atomic magnetic moment,原子磁矩,原子磁矩,https://terms.naer.edu.tw/
37,atomic nucleus,原子核,原子核,https://terms.naer.edu.tw/
38,atomic spectrum of hydrogen,氫原子光譜,氢原子光谱,https://terms.naer.edu.tw/
39,atomic structure,原子結構,原子结构,https://terms.naer.edu.tw/
40,automatic control,自動控制,自动控制,https://terms.naer.edu.tw/
41,autotransformer,自耦變壓器,自耦变压器,https://terms.naer.edu.tw/
42,average life,平均壽命,平均寿命,https://terms.naer.edu.tw/
43,average velocity  ,平均速度,平均速度,https://terms.naer.edu.tw/
44,Avogadro constant｛Avogadro number｝,亞佛加厥常數,阿伏伽德罗常量,https://terms.naer.edu.tw/
45,axle,軸；車軸；輪軸。,轮轴,https://terms.naer.edu.tw/
46,barometer,氣壓計,气压计,https://terms.naer.edu.tw/
47,baryon,重子,重子,https://terms.naer.edu.tw/
48,base station｛=BS｝,基地台,基站,https://terms.naer.edu.tw/
49,Bernoulli equation,白努利方程[式],伯努利方程,https://terms.naer.edu.tw/
50,betatron,貝他｛β｝加速器,电子感应加速器,https://terms.naer.edu.tw/
51,binaural localization,雙耳定位,双耳定位,https://terms.naer.edu.tw/
52,Biot-Savart law,必歐-沙伐定律,毕奥-萨伐尔定律,https://terms.naer.edu.tw/
53,birefringence,雙折射,双折射,https://terms.naer.edu.tw/
54,black body radiation,黑體輻射,黑体辐射,https://terms.naer.edu.tw/
55,black hole,黑洞,黑洞,https://terms.naer.edu.tw/
56,boiling,沸騰,沸腾,https://terms.naer.edu.tw/
57,boiling point,沸點,沸点,https://terms.naer.edu.tw/
58,Boltzmann constant,波茲曼常數,玻耳兹曼常量,https://terms.naer.edu.tw/
59,boson,玻色子,玻色子,https://terms.naer.edu.tw/
60,Boyle law,波以耳定律,玻意耳定律,https://terms.naer.edu.tw/
61,breeder reactor,滋生反應器,增殖堆,https://terms.naer.edu.tw/
62,Brownian motion,布朗運動,布朗运动,https://terms.naer.edu.tw/
63,bubble chamber,氣泡室,泡室,https://terms.naer.edu.tw/
64,buoyancy force｛buoyancy｝,浮力,浮力,https://terms.naer.edu.tw/
65,camera tube,攝像管,摄像管,https://terms.naer.edu.tw/
66,capacitance  ,電容,电容,https://terms.naer.edu.tw/
67,capacitive reactance,[電]容[電]抗,容抗,https://terms.naer.edu.tw/
68,capacitor  ,電容器,电容器,https://terms.naer.edu.tw/
69,capacity,容量；電容[量]；載量,电容,https://terms.naer.edu.tw/
70,capillarity,毛細作用；毛細現象,毛细现象,https://terms.naer.edu.tw/
71,carrier,載子；載波,载波,https://terms.naer.edu.tw/
72,cathode ray,陰極射線,阴极射线,https://terms.naer.edu.tw/
73,cell,電池；盒；槽；格；胞；細胞,电池,https://terms.naer.edu.tw/
74,center of gravity,重心,重心,https://terms.naer.edu.tw/
75,center of mass,質心,质心,https://terms.naer.edu.tw/
76,centrifuge,離心機,离心机,https://terms.naer.edu.tw/
77,centripetal acceleration,向心加速度,向心加速度,https://terms.naer.edu.tw/
78,chain reaction,連鎖反應,链式反应,https://terms.naer.edu.tw/
79,charge carrier,電荷載子,载流子,https://terms.naer.edu.tw/
80,Charles law,查爾斯定律,查理定律,https://terms.naer.edu.tw/
81,cloud chamber,雲霧室,云室,https://terms.naer.edu.tw/
82,code,[電]碼,电码,https://terms.naer.edu.tw/
83,coefficient of kinetic friction,動摩擦係數,动摩擦因数,https://terms.naer.edu.tw/
84,coefficient of rolling friction,滾動摩擦係數,滚动摩擦因数,https://terms.naer.edu.tw/
85,collective model,集體模型[原子核],集体模型,https://terms.naer.edu.tw/
86,collider,對撞機,对撞机,https://terms.naer.edu.tw/
87,collision,碰撞,碰撞,https://terms.naer.edu.tw/
88,communication network,通訊網絡；通訊網路,通信网络,https://terms.naer.edu.tw/
89,compass,羅盤,罗盘,https://terms.naer.edu.tw/
90,compound pendulum,複擺,复摆,https://terms.naer.edu.tw/
91,Compton effect,康普頓效應,康普顿效应,https://terms.naer.edu.tw/
92,computerized tomography｛=CT｝,電腦化斷層掃瞄,CT,https://terms.naer.edu.tw/
93,condensed state,凝[聚]態,凝聚态,https://terms.naer.edu.tw/
94,condenser,電容器,电容器,https://terms.naer.edu.tw/
95,conductor,導體,导体,https://terms.naer.edu.tw/
96,connect to neutral,接中性線,接零,https://terms.naer.edu.tw/
97,conservative force,保守力,保守力,https://terms.naer.edu.tw/
98,contact angle,接觸角,接触角,https://terms.naer.edu.tw/
99,contact potential difference,接觸電位差,接触电势差,https://terms.naer.edu.tw/
100,continuity equation,連續性方程,连续性方程,https://terms.naer.edu.tw/
101,convection current,對流,运流电流,https://terms.naer.edu.tw/
102,conversion air conditioner,變頻空調機,变频空调器,https://terms.naer.edu.tw/
103,coordinate system,坐標系,坐标系,https://terms.naer.edu.tw/
104,Copernican system,哥白尼太陽系,哥白尼体系,https://terms.naer.edu.tw/
105,Copernicus,哥白尼,哥白尼,https://terms.naer.edu.tw/
106,corona,日冕；電暈,电晕,https://terms.naer.edu.tw/
107,corona discharge,電暈放電,电晕放电,https://terms.naer.edu.tw/
108,cosmic rays,宇宙[射]線,宇宙射线,https://terms.naer.edu.tw/
109,cosmos,宇宙,宇宙,https://terms.naer.edu.tw/
110,coulomb,庫侖,库仑,https://terms.naer.edu.tw/
111,coulomb,庫侖,库,https://terms.naer.edu.tw/
112,Coulomb force,庫侖力,库仑力,https://terms.naer.edu.tw/
113,Coulomb law,庫倫定律,库仑定律,https://terms.naer.edu.tw/
114,couple,力偶,力偶,https://terms.naer.edu.tw/
115,coupling circuit,耦合電路,偶合电路,https://terms.naer.edu.tw/
116,critical state,臨界態,临界态,https://terms.naer.edu.tw/
117,crystal,晶體,晶体,https://terms.naer.edu.tw/
118,current transformer,變流器,电流互感器,https://terms.naer.edu.tw/
119,cyclotron,迴旋加速器,回旋加速器,https://terms.naer.edu.tw/
120,damped vibration,阻尼振動,阻尼振动,https://terms.naer.edu.tw/
121,DC power transmission,直流輸電,直流输电,https://terms.naer.edu.tw/
122,de Broglie wave,德布羅意波,德布罗意波,https://terms.naer.edu.tw/
123,deformation,形變,形变,https://terms.naer.edu.tw/
124,delta connection,開角接法；三角接法,三角形接法,https://terms.naer.edu.tw/
125,demagnetization,去磁；退磁,退磁,https://terms.naer.edu.tw/
126,density,密度,密度,https://terms.naer.edu.tw/
127,deposition,沉積,凝华,https://terms.naer.edu.tw/
128,diamagnetic substance,反磁[性]物質,抗磁质,https://terms.naer.edu.tw/
129,dielectric,介電質,电介质,https://terms.naer.edu.tw/
130,dielectric polarization,介電極化,电介质的极化,https://terms.naer.edu.tw/
131,diffraction grating,繞射光柵,衍射光栅,https://terms.naer.edu.tw/
132,diffraction of light,光繞射,光的衍射,https://terms.naer.edu.tw/
133,diffraction of wave,波繞射,波的衍射,https://terms.naer.edu.tw/
134,digital camera,數位相機；數位攝影機,数码相机,https://terms.naer.edu.tw/
135,digital circuit,數位電路,数字电路,https://terms.naer.edu.tw/
136,digital communication,數位通訊,数字通信,https://terms.naer.edu.tw/
137,digital television system,數位電視系統,数字电视,https://terms.naer.edu.tw/
138,dispersion of light,光色散,光的色散,https://terms.naer.edu.tw/
139,displacement,位移；排[水]量,位移,https://terms.naer.edu.tw/
140,displacement current,位移電流,位移电流,https://terms.naer.edu.tw/
141,distance of distinct vision,明視距離,明视距离,https://terms.naer.edu.tw/
142,doped semiconductor,雜質半導體,杂质半导体,https://terms.naer.edu.tw/
143,Doppler effect,都卜勒效應,多普勒效应,https://terms.naer.edu.tw/
144,double-slit interference,雙狹縫干涉,双缝干涉,https://terms.naer.edu.tw/
145,dry cell,乾電池,干电池,https://terms.naer.edu.tw/
146,earth,地球；地；接地,接地,https://terms.naer.edu.tw/
147,earthing,接地,接地,https://terms.naer.edu.tw/
148,eddy current,渦[電]流,涡电流,https://terms.naer.edu.tw/
149,effective resistance,有效電阻,有效电阻,https://terms.naer.edu.tw/
150,Einstein,愛因斯坦,爱因斯坦,https://terms.naer.edu.tw/
151,elastic deformation,彈性形變,弹性形变,https://terms.naer.edu.tw/
152,elastic force,彈[性]力,弹力,https://terms.naer.edu.tw/
153,elastic limit,彈性極限；彈性限[度],弹性限度,https://terms.naer.edu.tw/
154,electret,永電體,驻极体,https://terms.naer.edu.tw/
155,electric charge,電荷,电荷,https://terms.naer.edu.tw/
156,electric circuit,電路,电路,https://terms.naer.edu.tw/
157,electric current,電流,电流,https://terms.naer.edu.tw/
158,electric displacement,電[位]移,电位移,https://terms.naer.edu.tw/
159,electric field,電場,电场,https://terms.naer.edu.tw/
160,electric field intensity,電場強度,电场强度,https://terms.naer.edu.tw/
161,electric field line,電力線,电场线,https://terms.naer.edu.tw/
162,electric field strength,電場強度,电场强度,https://terms.naer.edu.tw/
163,electric flux,電通量,电通量,https://terms.naer.edu.tw/
164,electric polarization,電極化強度,电极化的强度,https://terms.naer.edu.tw/
165,electric polarization intensity,電極化強度,电极化的强度,https://terms.naer.edu.tw/
166,electric potential,電位；電勢,电势,https://terms.naer.edu.tw/
167,electric potential difference,電位差；電勢差,电势差,https://terms.naer.edu.tw/
168,electric power,電功率,电功率,https://terms.naer.edu.tw/
169,electric power network,電力網,电力网,https://terms.naer.edu.tw/
170,electrification by friction,摩擦起電,摩擦起电,https://terms.naer.edu.tw/
171,electrolysis,電解,电解,https://terms.naer.edu.tw/
172,electrolyte,電解質,电解质,https://terms.naer.edu.tw/
173,electromagnet,電磁體；電磁鐵,电磁体,https://terms.naer.edu.tw/
174,electromagnetic damping,電磁阻尼,电磁阻尼,https://terms.naer.edu.tw/
175,electromagnetic induction,電磁感應,电磁感应,https://terms.naer.edu.tw/
176,electromagnetic interaction,電磁交互作用,电磁相互作用,https://terms.naer.edu.tw/
177,electromagnetic pollution,電磁污染,电磁污染,https://terms.naer.edu.tw/
178,electromagnetic relay,電磁繼電器,电磁继电器,https://terms.naer.edu.tw/
179,electromagnetic wave,電磁波,电磁波,https://terms.naer.edu.tw/
180,electromagnetic wave spectrum,電磁波譜,电磁波谱,https://terms.naer.edu.tw/
181,electromotive force｛=emf｝,電動勢,电动势,https://terms.naer.edu.tw/
182,electron cloud,電子雲,电子云,https://terms.naer.edu.tw/
183,electron emission,電子發射,电子发射,https://terms.naer.edu.tw/
184,electron microscope,電子顯微鏡,电子显微镜,https://terms.naer.edu.tw/
185,electronic computer,電[子計]算機；電腦,电脑,https://terms.naer.edu.tw/
186,electroscope,驗電器,验电器,https://terms.naer.edu.tw/
187,electrostatic field,靜電場,静电场,https://terms.naer.edu.tw/
188,electrostatic induction,靜電感應,静电感应,https://terms.naer.edu.tw/
189,electrostatic precipitation,靜電集塵；靜電除塵,静电除尘,https://terms.naer.edu.tw/
190,electrostatic screening,靜電屏蔽,静电屏蔽,https://terms.naer.edu.tw/
191,electrostatic shielding,靜電屏蔽,静电屏蔽,https://terms.naer.edu.tw/
192,electrostatic spraying,靜電噴塗；靜電噴霧,静电喷涂,https://terms.naer.edu.tw/
193,elementary charge,基本電荷,元电荷,https://terms.naer.edu.tw/
194,elementary particle,基本粒子,基本粒子,https://terms.naer.edu.tw/
195,endoscope,內視鏡,内窥镜,https://terms.naer.edu.tw/
196,energy,能[量],能,https://terms.naer.edu.tw/
197,energy density,能量密度,能量密度,https://terms.naer.edu.tw/
198,energy dissipation,能量耗散,能量耗散,https://terms.naer.edu.tw/
199,energy-saving lamp,省電燈[泡]；省電燈[管],节能灯,https://terms.naer.edu.tw/
200,equilibrium state,平衡[狀]態,平衡态,https://terms.naer.edu.tw/
201,equipotential surface,等位面；等勢面,等势面,https://terms.naer.edu.tw/
202,error,誤差,误差,https://terms.naer.edu.tw/
203,ether,以太,以太,https://terms.naer.edu.tw/
204,external force,外力,外力,https://terms.naer.edu.tw/
205,facsimile,傳真,传真,https://terms.naer.edu.tw/
206,Faraday law of electrolysis,法拉第電解定律,法拉第电解定律,https://terms.naer.edu.tw/
207,Faraday law of electromagnetic induction,法拉第電磁感應定律,法拉第电磁感应定律,https://terms.naer.edu.tw/
208,fax,傳真,传真,https://terms.naer.edu.tw/
209,fermion,費米[粒]子,费米子,https://terms.naer.edu.tw/
210,ferrite,鐵氧體,铁氧体,https://terms.naer.edu.tw/
211,ferroelectrics,鐵電體,铁电体,https://terms.naer.edu.tw/
212,ferromagnetic substance,鐵磁[性]物質,铁磁质,https://terms.naer.edu.tw/
213,ferromagnetics,鐵磁學,铁磁质,https://terms.naer.edu.tw/
